idx,row,col,lon_deg,lat_deg,elev_m,slope_deg,seg_dist_m,cum_dist_m,seg_time_s,cum_time_s
0,15019,12016,23.469726555012357,0.6650390625318112,-1919.6382761001587,3.100867871353047,0.0,0.0,0.0,0.0
1,15018,12016,23.469726555012357,0.6669921875319047,-1921.9650030136108,2.2692356692070126,59.2252938,59.2252938,100.19101192088871,100.19101192088871
2,15017,12016,23.469726555012357,0.6689453125319982,-1922.8017330169678,3.3704766602675797,59.2252938,118.4505876,103.17709727413734,203.36810919502605
3,15016,12016,23.469726555012357,0.6708984375320917,-1925.3121614456177,1.8992044829977766,59.2252938,177.6758814,98.40490171778568,301.77301091281174
4,15015,12016,23.469726555012357,0.6728515625321851,-1925.6999492645264,0.6601815278010364,59.2252938,236.9011752,75.81698199204884,377.5899929048606
5,15014,12016,23.469726555012357,0.6748046875322786,-1924.0469932556152,1.5114385995601132,59.2252938,296.12646900000004,78.62313320649409,456.21312611135465
6,15013,12016,23.469726555012357,0.6767578125323721,-1922.8428602218628,0.3041886152291975,59.2252938,355.3517628000001,74.17819938086225,530.3913254922169
7,15012,12016,23.469726555012357,0.6787109375324656,-1924.3533611297607,1.8104156139775287,59.2252938,414.5770566000001,71.9823010935482,602.3736265857651
8,15011,12016,23.469726555012357,0.6806640625325592,-1926.2514114379883,2.299485653549208,59.2252938,473.80235040000014,88.65515909082309,691.0287856765882
9,15010,12016,23.469726555012357,0.6826171875326527,-1928.9658069610596,1.8302959316766838,59.2252938,533.0276442000002,88.59735422149978,779.626139898088
10,15009,12016,23.469726555012357,0.6845703125327461,-1930.0271272659302,0.6724366703940752,59.2252938,592.2529380000002,75.29066090068729,854.9168007987753
11,15008,12016,23.469726555012357,0.6865234375328396,-1929.006814956665,0.9205653852045099,59.2252938,651.4782318000002,72.48721634002099,927.4040171387962
12,15007,12017,23.471679680012443,0.6884765625329331,-1925.9263277053833,1.2084795583397863,83.75721372749119,735.2354455274914,113.56317651744891,1040.9671936562452
